27-08-2024 12:06:16 Id : 27082024120616 Fecha : 27-08-2024 12:06:16 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 02:45:01 Id : 27082024144501 Fecha : 27-08-2024 14:45:01 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 02:52:10 Id : 27082024145210 Fecha : 27-08-2024 14:52:10 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 02:52:42 Id : 27082024145242 Fecha : 27-08-2024 14:52:42 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 02:57:29 Id : 27082024145729 Fecha : 27-08-2024 14:57:29 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 02:57:48 Id : 27082024145748 Fecha : 27-08-2024 14:57:48 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:01:48 Id : 27082024150148 Fecha : 27-08-2024 15:01:48 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:02:37 Id : 27082024150237 Fecha : 27-08-2024 15:02:37 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:03:13 Id : 27082024150313 Fecha : 27-08-2024 15:03:13 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:03:25 Id : 27082024150325 Fecha : 27-08-2024 15:03:25 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:05:04 Id : 27082024150504 Fecha : 27-08-2024 15:05:04 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
